,id,address,categories,city,country,cuisines,latitude,longitude,priceRangeCurrency,priceRangeMin,priceRangeMax,province,dietary,is_vegan,is_vegetarian,is_both
4684,AVwdH4-wkufWRAb52iNr,26 N Main St,"Mexican Restaurant,Restaurant,Mexican Restaurants,Caterers,Vegan Restaurants,Latin American Restaurants,Burrito Place and Mexican Restaurant,Vegetarian Restaurants,Catering,Restaurants,Burrito Place",Concord,US,Mexican,43.282465,-71.601809,USD,25,40,NH,Both,TRUE,TRUE,TRUE
4734,AVwc5QsV_7pvs4fz0Gqo,5605 N Clark St,"Restaurant,Mediterranean Restaurants,Vegetarian Restaurants,Restaurants,Middle Eastern Restaurants",Chicago,US,General Mediterranean,41.98365,-87.668717,,,,IL,Vegetarian,FALSE,TRUE,FALSE
4754,AV8wUu983-Khe5l_YO--,13216 14th Ave,"Restaurant,Vegetarian,Sushi,Japanese",College Point,US,Japanese,40.785791,-73.836019,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4858,AV8wUj0rIxWefVJwrRE5,24803 Union Tpk,"Restaurant,Vegetarian,Indian",Bellerose,US,Indian,40.742541,-73.721599,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4899,AV8wUvQ_IxWefVJwrRHX,25907 Hillside Ave,"Restaurant,Vegetarian,Indian",Glen Oaks,US,Indian,40.737211,-73.708897,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4923,AVwdOzo-IN2L1WUftmrN,3704 Kerbey Ln,"Breakfast Spot,Restaurant,Cafe,Dessert Shops,Diner,Caf,Restaurants",Austin,US,Mexican and American,30.308317,-97.750057,USD,25,40,TX,Vegan,TRUE,FALSE,FALSE
4973,AVweedXDByjofQCxyj8e,1502 W Thomas Rd,"Asian Restaurants,Bars Clubs,Restaurant,Caterers,Vegan Restaurants,Taverns,Chinese Restaurants,Bar and Grills,Chinese,Restaurants,Bars",Phoenix,US,Chinese,33.480677,-112.091543,,,,AZ,Vegan,TRUE,FALSE,FALSE
4990,AVzA1KDV3D1zeR_xA_nV,22323 Sherman Way Ste 11,"Indian Restaurant,Restaurant,Caterers,Indian restaurants,American restaurants,Asian restaurants,Catering,Restaurants",Canoga Park,US,Indian,34.201068,-118.613392,USD,25,40,CA,Vegan,TRUE,FALSE,FALSE
5021,AVwdiIgZByjofQCxqC5X,3351 Adams Ave,"Restaurant,Vegetarian / Vegan Restaurant,Vegetarian,Breakfast & Brunch,Vegan,Restaurants,International",San Diego,US,Asian,32.763092,-117.121473,USD,25,40,CA,Vegan,TRUE,TRUE,TRUE
5078,AV1TpfQc-gnIPe8DWW-4,1805 E Elliot Rd Ste 115,"Restaurant,Vegetarian,Thai",Tempe,US,Thai,33.347827,-111.910257,,,,AZ,Vegetarian,FALSE,TRUE,FALSE
5085,AV1Tso0J-gnIPe8DWscT,3827 N Lincoln Ave,"Restaurant,Breakfast & Brunch,Coffeehouses,Restaurants,Vegan",Chicago,US,American,41.951325,-87.676736,,,,IL,Vegan,TRUE,FALSE,FALSE
5100,AVwc-fCFIN2L1WUfq7A6,3215 W Broad St,"Asian Restaurants,Restaurant,Caterers,Restaurants,Indian Restaurants,Middle Eastern Restaurants",Richmond,US,Indian,37.56618,-77.47498,,,,VA,Vegan,TRUE,FALSE,FALSE
5228,AVwco353_7pvs4fzxWCs,1200 Bison Ave,"Mediterranean Restaurant,Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Vegetarian Vegan Restaurant,Restaurants",Newport Beach,US,Greek,33.638462,-117.863907,USD,25,40,CA,Both,TRUE,TRUE,TRUE
5251,AVwdfOCBByjofQCxpmij,173 W Broadway,"Restaurant,American Restaurants,Seafood Restaurants,Family Style Restaurants,Vegetarian Restaurants,Restaurants",Salt Lake City,US,American,40.762734,-111.89581,,,,UT,Vegetarian,FALSE,TRUE,FALSE
5261,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Natural food restaurants,American restaurants,Caf,Bistro restaurants,Cafes,Restaurants,Juice bars,Breakfast Spot,Restaurant,Vegetarian restaurants,Beer and beverages-wholesale and distributors,Restaurants-breakfast and diners,Health food restaurants",Encino,US,Unclassified,34.161494,-118.514036,USD,40,55,CA,Vegetarian,FALSE,TRUE,FALSE
5390,AVwc7a8r_7pvs4fz0d09,4738 Beechnut St,"Mediterranean Restaurant,Restaurant,Mediterranean,Falafel Restaurant,Middle Eastern Restaurant,Middle Eastern Restaurant, Falafel Restaurant, and Mediterranean Restaurant,Middle Eastern & African,Restaurants",Houston,US,Middle Eastern,29.689111,-95.460374,USD,25,40,TX,Vegan,TRUE,FALSE,FALSE
5429,AVwc2E-a_7pvs4fzzj_y,410 N Ocean Dr,"Bars Clubs,Restaurant,Catering Companies,Seafood Restaurants,Greek Restaurant,Bars & Clubs,Greek Restaurants,Mediterranean Restaurants,Vegetarian Restaurants,Catering,Restaurants",Hollywood,US,Greek,26.014695,-80.117549,USD,40,55,FL,Vegetarian,FALSE,TRUE,FALSE
5597,AVwdN4Ut_7pvs4fz3gKF,1320 E Valley Pkwy,"Restaurant,Vegetarian,Sandwich Place,Californian",Escondido,US,American,33.131872,-117.063804,,,,CA,Vegetarian,FALSE,TRUE,FALSE
5602,AVwc3k4JByjofQCxjEfY,2531 Chain Bridge Rd,"Asian Restaurants,Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant and Chinese Restaurant,Vegetarian / Vegan Restaurant,Chinese Restaurants,Take Out Restaurants,Family Style Restaurants,Vegetarian Restaurants,Restaurants",Vienna,US,Unclassified,38.892958,-77.275703,USD,0,25,VA,Vegetarian,TRUE,TRUE,TRUE
5710,AVwc5NFFIN2L1WUfqC_B,655 N Cass Ave,"Asian Restaurants,Restaurant,Family Style Restaurants,Vegetarian Restaurants,Restaurants,Indian Restaurants,Middle Eastern Restaurants",Westmont,US,Indian,41.810579,-87.975883,,,,IL,Vegetarian,FALSE,TRUE,FALSE
5783,AV1Tp4A7-gnIPe8DWbH7,95 Massachusetts Ave,"Restaurant,Vegetarian,Indian",Boston,US,Indian,42.348304,-71.088214,,,,MA,Vegetarian,FALSE,TRUE,FALSE
